euclidean_final_xy,maze_geodesic_shortest_path,ratio,shortest_path_touches_horseshoe_region
1.55502916,1.65280659,1.06287820,true
1.60589528,1.69844073,1.05762857,true
1.53646451,1.62402961,1.05699129,true
1.55823817,1.65280659,1.06068932,true
1.54407248,1.63841810,1.06110180,true
0.54902500,0.58107592,1.05837788,false
1.54930538,1.70295452,1.09917292,true
1.55605426,1.65280659,1.06217799,true
1.55608055,1.66719507,1.07140667,true
1.81692930,1.95207263,1.07438007,false
1.29570625,1.38189396,1.06651795,true
1.52943624,1.61806970,1.05795172,true
0.53135266,0.57613857,1.08428660,false
1.49835727,1.61662358,1.07893065,false
1.51242564,1.61066368,1.06495396,false
1.55404894,1.64088677,1.05587844,true
1.94383697,2.27620086,1.17098342,true
1.24542309,1.45341285,1.16700330,true
1.53947022,1.63245819,1.06040258,true
1.55177150,1.65280659,1.06510951,true
1.54588365,1.63245819,1.05600327,true
1.58516383,1.66966375,1.05330674,true
1.54699965,1.63841810,1.05909403,true
2.29123404,2.70044951,1.17860047,true
1.55073844,1.80427294,1.16349276,true
1.10023784,1.69248082,1.53828633,true
1.53602372,1.62402961,1.05729462,true
1.79157396,1.90439337,1.06297223,false
0.63890297,0.65361737,1.02303072,false
1.54537757,1.63245819,1.05634909,true
1.16188464,1.26142514,1.08567159,false
1.54458192,1.63245819,1.05689324,true
1.54237231,1.63245819,1.05840735,true
1.54584009,1.62649828,1.05217758,true
1.95185773,2.33273225,1.19513437,true
1.38985322,1.50645302,1.08389361,true
1.80429891,1.94015281,1.07529456,false
1.52986490,1.61806970,1.05765529,true
1.55254160,1.64088677,1.05690358,true
1.55286186,1.64684668,1.06052362,true
1.44620401,2.01209526,1.39129420,true
1.32942869,1.87663895,1.41161309,true
1.93965074,2.51339915,1.29579985,true
1.71505428,1.98391728,1.15676646,true
1.55589524,1.67869133,1.07892311,false
1.52173161,1.64293189,1.07964629,false
1.53178449,1.62402961,1.06022069,true
0.44655939,0.47686526,1.06786526,false
1.55014212,1.64684668,1.06238432,true
1.54815894,1.63245819,1.05445129,true
1.81543237,1.95207263,1.07526596,false
1.53157305,1.61210979,1.05258433,true
0.22029389,2.43863714,11.06992656,true
0.40446266,0.50811091,1.25626161,true
0.29970699,2.47439659,8.25605239,true
0.82893487,1.37491150,1.65864841,true
0.61679262,0.95909143,1.55496580,true
0.45619626,0.50666480,1.11062899,true
0.55898615,0.59750952,1.06891650,true
0.44390414,0.47788782,1.07655636,true
0.40222933,0.43863714,1.09051507,true
0.43562901,0.47192791,1.08332528,true
0.23164791,0.23617573,1.01954614,true
0.63371638,0.64765746,1.02199892,true
0.44196797,0.47788782,1.08127253,true
0.41184733,0.43267723,1.05057676,true
0.46382530,0.50666480,1.09236128,true
0.47631967,0.47644170,1.00025621,true
0.46570605,0.50666480,1.08794979,true
0.42754576,0.47090535,1.10141508,true
1.66046335,1.78741578,1.07645603,true
0.43115563,0.46596800,1.08074202,true
0.44946786,0.48631640,1.08198260,true
0.57771257,0.58149948,1.00655500,true
1.47998524,1.60036542,1.08133877,true
0.78674610,0.83819905,1.06539969,true
0.20268072,0.21335866,1.05268359,true
0.45446710,0.47584270,1.04703443,true
0.45918849,0.48733896,1.06130481,true
0.45648851,0.49227631,1.07839803,true
0.63665022,0.65097325,1.02249748,true
1.12178500,1.20838498,1.07719837,true
0.43439156,0.47090535,1.08405733,true
0.44117952,0.47788782,1.08320489,true
0.44153899,0.47192791,1.06882500,true
0.45994862,0.50666480,1.10156824,true
0.49690486,0.54037912,1.08749011,true
0.44441303,0.47788782,1.07532361,true
0.46597465,0.50666480,1.08732266,true
0.45254604,0.49227631,1.08779277,true
1.43220070,1.77754108,1.24112569,true
0.42819516,0.44953440,1.04983531,true
0.46315301,0.50666480,1.09394689,true
0.44214640,0.48529384,1.09758633,true
0.75712349,0.80593084,1.06446418,true
0.23319864,0.25260934,1.08323675,true
0.43265875,0.47192791,1.09076243,true
0.97299752,1.11796381,1.14898938,true
0.44558675,0.47048180,1.05587025,true
1.71813493,2.04087224,1.18784165,true
0.45471645,0.49474498,1.08802967,true
1.46779956,1.54016735,1.04930359,true
0.13323273,0.14737612,1.10615555,true
0.44469251,0.48631640,1.09360152,true
0.45754379,0.50666480,1.10735806,true
0.45020087,0.48631640,1.08022093,true
0.47716362,0.51160215,1.07217342,true
0.45382678,0.49227631,1.08472292,true
1.66095911,1.78741578,1.07613473,true
0.47382595,0.51509338,1.08709408,true
0.37616804,0.38355186,1.01962906,true
0.44325120,0.47788782,1.07814218,true
0.70314084,0.75825158,1.07837795,true
0.80511726,0.93091345,1.15624579,true
0.44714205,0.48631640,1.08761052,true
0.41849621,0.44110582,1.05402583,true
0.45017170,0.48631640,1.08029093,true
0.44475721,0.48631640,1.09344243,true
0.44723643,0.48035649,1.07405494,true
1.41176577,1.50398434,1.06532144,true
0.27667329,0.30071216,1.08688540,true
0.73637281,0.79401102,1.07827314,true
0.43538612,0.47192791,1.08392963,true
0.45320413,0.49474498,1.09166036,true
0.45617899,0.50070489,1.09760620,true
0.55282699,0.65548704,1.18570014,true
0.49254641,0.52003073,1.05580046,true
1.09162066,1.19050526,1.09058513,true
0.65109031,0.69473772,1.06703740,true
0.54904829,0.56626387,1.03135532,true
0.48230605,0.49679010,1.03003082,true
0.44052652,0.47788782,1.08481056,true
1.32043586,1.48261339,1.12282121,true
0.45395148,0.50070489,1.10299208,true
0.45348064,0.48631640,1.07240831,true
0.75527446,0.80593084,1.06707016,true
0.43415269,0.46596800,1.07328139,true
0.25013746,2.89906880,11.58990237,true
0.07941310,0.08633094,1.08711199,true
0.64561858,2.15495759,3.33781842,true
0.39691327,2.48733896,6.26670649,true
0.66093381,2.82730179,4.27773816,true
0.75089452,2.96028943,3.94235058,true
0.64638052,2.81538198,4.35561078,true
0.41787895,2.82959503,6.77132695,true
0.63990809,2.80099349,4.37718094,true
0.32993450,2.21438122,6.71157820,true
0.81344491,3.05258027,3.75265766,true
0.64467723,2.81538198,4.36711872,true
0.63051368,2.67745699,4.24646932,true
0.66730495,2.82730179,4.23689618,true
0.64439543,2.31714576,3.59584451,true
0.66924430,2.82730179,4.22461840,true
0.53411311,2.90954250,5.44742757,true
1.75577971,2.12967185,1.21294934,true
0.63729905,2.78660500,4.37252338,true
0.65566386,2.80695340,4.28108602,true
0.61414595,1.85713767,3.02393540,true
1.58641063,2.05219305,1.29360773,true
0.96603896,2.20221329,2.27963197,true
0.27762260,2.22527848,8.01548015,true
0.53308483,2.02239351,3.79375553,true
0.61831802,2.92597610,4.73215404,true
0.66071110,2.82134189,4.27015964,true
0.85628714,2.65770760,3.10375745,true
1.25805734,2.05815296,1.63597707,true
0.54297080,2.90954250,5.35856163,true
0.64409483,2.81538198,4.37106750,true
0.64547151,2.80099349,4.33945332,true
0.66504540,2.82730179,4.25129140,true
0.70948230,2.79358747,3.93750130,true
0.64777295,2.81538198,4.34624812,true
0.66969392,2.82730179,4.22178212,true
0.65573257,2.82134189,4.30258010,true
1.23336199,2.33375481,1.89218966,true
0.64804670,2.66059983,4.10556806,true
0.66716624,2.82730179,4.23777707,true
0.65724193,2.74693077,4.17948192,true
0.94961282,3.11813925,3.28359008,true
0.41377751,2.69124648,6.50409070,true
0.63835835,2.80099349,4.38780739,true
0.77957135,3.04066046,3.90042612,true
0.62908745,2.88383319,4.58415313,true
1.63013759,1.75761624,1.07820116,true
0.66196777,2.79852482,4.22758467,true
1.51926437,1.70542319,1.12253221,true
0.34875630,2.44911084,7.02241311,true
0.64947132,2.80695340,4.32190505,true
0.66217638,2.82730179,4.26971102,true
0.65550866,2.80695340,4.28209964,true
0.68912568,2.78166765,4.03651720,true
0.65787543,2.82134189,4.28856553,true
1.75644047,2.12967185,1.21249304,true
0.67787614,2.46367477,3.63440253,true
0.40183160,2.05508528,5.11429488,true
0.64697122,2.81538198,4.35163401,true
0.90717653,3.00303134,3.31030537,true
0.62668899,2.96318166,4.72831293,true
0.65375126,2.80695340,4.29361070,true
0.44500881,2.83206370,6.36406209,true
0.65481915,2.80695340,4.28660861,true
0.65101867,2.80695340,4.31163270,true
0.65403946,2.79256491,4.26971930,true
1.47750775,1.76195459,1.19251801,true
0.49065260,2.64663490,5.39411167,true
0.93197803,3.08936228,3.31484452,true
0.63990568,2.80099349,4.37719743,true
