map,seed,evaluation,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction
horseshoe,1004,12750,10,614,136,478,5,0.988599348534202,257,0.4112
horseshoe,1004,12750,20,614,136,478,1,1.0,325,0.52
horseshoe,1004,12750,30,614,136,478,1,1.0,370,0.592
horseshoe,1004,13000,3,619,137,482,37,0.6365105008077544,187,0.2992
horseshoe,1004,13000,5,619,137,482,10,0.9208400646203554,217,0.3472
horseshoe,1004,13000,10,619,137,482,4,0.9935379644588045,255,0.408
horseshoe,1004,13000,20,619,137,482,2,0.9967689822294022,324,0.5184
horseshoe,1004,13000,30,619,137,482,2,0.9967689822294022,371,0.5936
horseshoe,1004,13250,3,624,139,485,38,0.5464743589743589,187,0.2992
horseshoe,1004,13250,5,624,139,485,8,0.9166666666666666,218,0.3488
horseshoe,1004,13250,10,624,139,485,4,0.9903846153846154,255,0.408
horseshoe,1004,13250,20,624,139,485,1,1.0,319,0.5104
horseshoe,1004,13250,30,624,139,485,1,1.0,364,0.5824
horseshoe,1004,13500,3,625,141,484,39,0.4416,189,0.3024
horseshoe,1004,13500,5,625,141,484,9,0.9776,222,0.3552
horseshoe,1004,13500,10,625,141,484,4,0.9904,259,0.4144
horseshoe,1004,13500,20,625,141,484,1,1.0,321,0.5136
horseshoe,1004,13500,30,625,141,484,1,1.0,364,0.5824
horseshoe,1004,13750,3,632,143,489,36,0.4873417721518987,188,0.3008
horseshoe,1004,13750,5,632,143,489,9,0.939873417721519,222,0.3552
horseshoe,1004,13750,10,632,143,489,4,0.9920886075949367,259,0.4144
horseshoe,1004,13750,20,632,143,489,1,1.0,321,0.5136
horseshoe,1004,13750,30,632,143,489,1,1.0,364,0.5824
horseshoe,1004,14000,3,635,143,492,33,0.8094488188976378,191,0.3056
horseshoe,1004,14000,5,635,143,492,11,0.9118110236220472,225,0.36
horseshoe,1004,14000,10,635,143,492,6,0.9763779527559056,260,0.416
horseshoe,1004,14000,20,635,143,492,1,1.0,323,0.5168
horseshoe,1004,14000,30,635,143,492,1,1.0,367,0.5872
